linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition
stimuli/block_03_trial_072.png,stimuli\block_03_trial_072.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,1
stimuli/block_03_trial_073.png,stimuli\block_03_trial_073.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,0
stimuli/block_03_trial_074.png,stimuli\block_03_trial_074.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,0
stimuli/block_03_trial_075.png,stimuli\block_03_trial_075.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,1
stimuli/block_03_trial_076.png,stimuli\block_03_trial_076.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0
stimuli/block_03_trial_077.png,stimuli\block_03_trial_077.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,2
stimuli/block_03_trial_078.png,stimuli\block_03_trial_078.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,7
stimuli/block_03_trial_079.png,stimuli\block_03_trial_079.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,8
stimuli/block_03_trial_080.png,stimuli\block_03_trial_080.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,6
stimuli/block_03_trial_081.png,stimuli\block_03_trial_081.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3
stimuli/block_03_trial_082.png,stimuli\block_03_trial_082.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7
stimuli/block_03_trial_083.png,stimuli\block_03_trial_083.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4
stimuli/block_03_trial_084.png,stimuli\block_03_trial_084.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,2
stimuli/block_03_trial_085.png,stimuli\block_03_trial_085.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,1
stimuli/block_03_trial_086.png,stimuli\block_03_trial_086.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4
stimuli/block_03_trial_087.png,stimuli\block_03_trial_087.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3
stimuli/block_03_trial_088.png,stimuli\block_03_trial_088.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,5
stimuli/block_03_trial_089.png,stimuli\block_03_trial_089.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0
stimuli/block_03_trial_090.png,stimuli\block_03_trial_090.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,8
stimuli/block_03_trial_091.png,stimuli\block_03_trial_091.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3
stimuli/block_03_trial_092.png,stimuli\block_03_trial_092.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7
stimuli/block_03_trial_093.png,stimuli\block_03_trial_093.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,5
stimuli/block_03_trial_094.png,stimuli\block_03_trial_094.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0
stimuli/block_03_trial_095.png,stimuli\block_03_trial_095.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4
stimuli/block_03_trial_096.png,stimuli\block_03_trial_096.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3
stimuli/block_03_trial_097.png,stimuli\block_03_trial_097.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7
stimuli/block_03_trial_098.png,stimuli\block_03_trial_098.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3
stimuli/block_03_trial_099.png,stimuli\block_03_trial_099.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,2
stimuli/block_03_trial_100.png,stimuli\block_03_trial_100.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3
stimuli/block_03_trial_101.png,stimuli\block_03_trial_101.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3
stimuli/block_03_trial_102.png,stimuli\block_03_trial_102.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7
stimuli/block_03_trial_103.png,stimuli\block_03_trial_103.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3
stimuli/block_03_trial_104.png,stimuli\block_03_trial_104.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7
stimuli/block_03_trial_105.png,stimuli\block_03_trial_105.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,8
stimuli/block_03_trial_106.png,stimuli\block_03_trial_106.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4
stimuli/block_03_trial_107.png,stimuli\block_03_trial_107.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,1
