cur_block_file_name,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,MyExps.thisRepN,MyExps.thisTrialN,MyExps.thisN,MyExps.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tInstr.started,tInstr.stopped,kTrial.keys,kTrial.corr,kTrial.started,kTrial.stopped,iTrial.started,iTrial.stopped,tTrial.started,tTrial.stopped,pTrial.started,pTrial.stopped,kTrial.rt,participant,session,date,expName,psychopyVersion,frameRate,
tBlock01.csv,stimuli/block_01_trial_003.png,stimuli\block_01_trial_003.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,4,0,-1,-1,0,0,0,0,0,0,11,11,3,,,z,0,60.40241840478848,None,60.80909743094526,None,60.80909743094526,61.39233057950332,60.40241840478848,60.794542825213284,1.0643461811414454,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_031.png,stimuli\block_01_trial_031.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,8,0,-1,-1,0,0,0,0,0,0,12,12,31,,,slash,1,61.50248750207538,None,61.91093360619561,None,61.91093360619561,62.49348899729375,61.50248750207538,61.893253386893775,1.0851180317404214,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_018.png,stimuli\block_01_trial_018.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,1,0,-1,-1,0,0,0,0,0,0,13,13,18,,,slash,0,62.62493958706909,None,63.030954448651755,None,63.030954448651755,63.61125341709703,62.62493958706909,63.018626814271556,1.0109977949323365,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_028.png,stimuli\block_01_trial_028.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0,0,-1,-1,0,0,0,0,0,0,14,14,28,,,slash,0,63.67334581866453,None,64.09432760417985,None,64.09432760417985,64.66269766353071,63.67334581866453,64.0654615547246,1.0713888175669126,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_010.png,stimuli\block_01_trial_010.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,1,0,-1,-1,0,0,0,0,0,0,15,15,10,,,None,0,64.7760077630519,None,65.1839867997769,66.06418570932874,65.1839867997769,65.76380510791205,64.7760077630519,65.1658538611373,,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_000.png,stimuli\block_01_trial_000.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,6,0,-1,-1,0,0,0,0,0,0,16,16,0,,,z,1,66.67296635000093,None,67.08163145097205,None,67.08163145097205,67.66570698222495,66.67296635000093,67.06509945477592,1.0556897645437857,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_020.png,stimuli\block_01_trial_020.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6,0,-1,-1,0,0,0,0,0,0,17,17,20,,,z,0,67.76013200223679,None,68.16920602317259,None,68.16920602317259,None,67.76013200223679,68.14944986482442,0.9310688556288369,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_034.png,stimuli\block_01_trial_034.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8,0,-1,-1,0,0,0,0,0,0,18,18,34,,,None,0,68.73445348959649,None,69.13726684387075,70.01432654695236,69.13726684387075,69.71782936369709,68.73445348959649,69.11721428463352,,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_029.png,stimuli\block_01_trial_029.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,5,0,-1,-1,0,0,0,0,0,0,19,19,29,,,z,1,70.62862213226617,None,71.03622849677049,None,71.03622849677049,None,70.62862213226617,71.01934459530457,0.9602977601898601,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2,0,-1,-1,0,0,0,0,0,0,20,20,1,,,z,1,71.63132787603536,None,72.05867038709403,None,72.05867038709403,71.63132787603536,71.63132787603536,72.02858966033091,0.9228934769198531,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
