cur_block_file_name,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,MyExps.thisRepN,MyExps.thisTrialN,MyExps.thisN,MyExps.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tInstr.started,tInstr.stopped,kTrial.keys,kTrial.corr,kTrial.rt,kTrial.started,kTrial.stopped,iTrial.started,iTrial.stopped,tTrial.started,tTrial.stopped,pTrial.started,pTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tBlock03.csv,stimuli/block_03_trial_090.png,stimuli\block_03_trial_090.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,8,0,-1,-1,0,0,0,0,2,0,11,11,18,,,slash,1,0.9164409992226865,25.452975336418604,None,25.85909063447616,None,25.85909063447616,None,25.452975336418604,25.842518614721484,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_104.png,stimuli\block_03_trial_104.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7,0,-1,-1,0,0,0,0,2,0,12,12,32,,,z,0,0.8819187899207463,26.404091465155943,None,26.810474845566205,None,26.810474845566205,None,26.404091465155943,26.793208454779233,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_080.png,stimuli\block_03_trial_080.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,6,0,-1,-1,0,0,0,0,2,0,13,13,8,,,z,1,0.9663534004794201,27.32066197459062,None,27.72796061077679,None,27.72796061077679,None,27.32066197459062,27.710845629873802,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_096.png,stimuli\block_03_trial_096.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3,0,-1,-1,0,0,0,0,2,0,14,14,24,,,slash,1,0.873231034114724,28.32218891120283,None,28.728782981677796,None,28.728782981677796,28.32218891120283,28.32218891120283,28.71196628958569,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_094.png,stimuli\block_03_trial_094.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0,0,-1,-1,0,0,0,0,2,0,15,15,22,,,slash,1,0.8759937925788108,29.22213529473811,None,29.629691063411883,None,29.629691063411883,None,29.22213529473811,29.61329046532046,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_101.png,stimuli\block_03_trial_101.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3,0,-1,-1,0,0,0,0,2,0,16,16,29,,,z,0,0.8413953119597863,30.123881228195387,None,30.53091102685721,None,30.53091102685721,None,30.123881228195387,30.5140588421782,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_098.png,stimuli\block_03_trial_098.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3,0,-1,-1,0,0,0,0,2,0,17,17,26,,,z,1,1.0211894549138378,30.993934542595525,None,31.39830919333326,None,31.39830919333326,31.98450219751976,30.993934542595525,31.38209663046291,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_076.png,stimuli\block_03_trial_076.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0,0,-1,-1,0,0,0,0,2,0,18,18,4,,,slash,1,0.8423094349855091,32.04060239234241,None,32.44945401820587,None,32.44945401820587,None,32.04060239234241,32.43281856489193,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_087.png,stimuli\block_03_trial_087.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3,0,-1,-1,0,0,0,0,2,0,19,19,15,,,z,1,1.1181318058952456,32.911351965682115,None,33.31692165954155,None,33.31692165954155,33.900891090597725,32.911351965682115,33.30044856594759,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_102.png,stimuli\block_03_trial_102.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7,0,-1,-1,0,0,0,0,2,0,20,20,30,,,slash,1,0.8934395342075732,34.06245789973764,None,34.46835533369449,None,34.46835533369449,None,34.06245789973764,34.45151900741621,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
