16.6043 	EXP 	New trial (rep=0, index=2): OrderedDict([('linux_file_name', 'stimuli/block_03_trial_107.png'), ('pc_file_name', 'stimuli\\block_03_trial_107.png'), ('distract_condition', 1), ('target_color_condition', [0, 255, 0]), ('back_color_condition', [0, 0, 0]), ('distractor_color_condition', [225, 0, 0]), ('cue_condition', 1), ('target_condition', 'C'), ('correct_response', 'slash'), ('target_pos_index_condition', 1)])
16.6226 	DATA 	Keypress: z
16.6268 	EXP 	iTrial: autoDraw = False
16.6268 	EXP 	tTrial: autoDraw = False
16.6268 	EXP 	pTrial: autoDraw = False
16.6268 	EXP 	iTrial: size = array([0.9, 0.9])
16.6268 	EXP 	iTrial: image = 'stimuli/block_03_trial_107.png'
16.6268 	EXP 	pTrial: autoDraw = True
17.0162 	EXP 	pTrial: autoDraw = False
17.0325 	EXP 	iTrial: autoDraw = True
17.0325 	EXP 	tTrial: autoDraw = True
17.5574 	DATA 	Keypress: slash
17.6163 	EXP 	tTrial: autoDraw = False
17.9170 	EXP 	iTrial: autoDraw = False
18.5038 	EXP 	New trial (rep=0, index=3): OrderedDict([('linux_file_name', 'stimuli/block_03_trial_083.png'), ('pc_file_name', 'stimuli\\block_03_trial_083.png'), ('distract_condition', 1), ('target_color_condition', [0, 255, 0]), ('back_color_condition', [0, 0, 0]), ('distractor_color_condition', [225, 0, 0]), ('cue_condition', 1), ('target_condition', 'D'), ('correct_response', 'z'), ('target_pos_index_condition', 4)])
18.5268 	EXP 	iTrial: autoDraw = False
18.5268 	EXP 	tTrial: autoDraw = False
18.5268 	EXP 	pTrial: autoDraw = False
18.5268 	EXP 	iTrial: size = array([0.9, 0.9])
18.5268 	EXP 	iTrial: image = 'stimuli/block_03_trial_083.png'
18.5268 	EXP 	pTrial: autoDraw = True
18.9182 	EXP 	pTrial: autoDraw = False
18.9348 	EXP 	iTrial: autoDraw = True
18.9348 	EXP 	tTrial: autoDraw = True
19.4237 	EXP 	New trial (rep=0, index=4): OrderedDict([('linux_file_name', 'stimuli/block_03_trial_095.png'), ('pc_file_name', 'stimuli\\block_03_trial_095.png'), ('distract_condition', 0), ('target_color_condition', [0, 255, 0]), ('back_color_condition', [0, 0, 0]), ('distractor_color_condition', [225, 0, 0]), ('cue_condition', 1), ('target_condition', 'D'), ('correct_response', 'z'), ('target_pos_index_condition', 4)])
19.4430 	DATA 	Keypress: slash
19.4472 	EXP 	iTrial: autoDraw = False
19.4472 	EXP 	tTrial: autoDraw = False
19.4472 	EXP 	pTrial: autoDraw = False
19.4472 	EXP 	iTrial: size = array([0.9, 0.9])
19.4472 	EXP 	iTrial: image = 'stimuli/block_03_trial_095.png'
19.4472 	EXP 	pTrial: autoDraw = True
19.8356 	EXP 	pTrial: autoDraw = False
19.8526 	EXP 	iTrial: autoDraw = True
19.8526 	EXP 	tTrial: autoDraw = True
20.4366 	EXP 	tTrial: autoDraw = False
20.4756 	EXP 	New trial (rep=0, index=5): OrderedDict([('linux_file_name', 'stimuli/block_03_trial_072.png'), ('pc_file_name', 'stimuli\\block_03_trial_072.png'), ('distract_condition', 1), ('target_color_condition', [0, 255, 0]), ('back_color_condition', [0, 0, 0]), ('distractor_color_condition', [225, 0, 0]), ('cue_condition', 1), ('target_condition', 'C'), ('correct_response', 'slash'), ('target_pos_index_condition', 1)])
20.4943 	DATA 	Keypress: slash
20.4985 	EXP 	iTrial: autoDraw = False
20.4985 	EXP 	tTrial: autoDraw = False
20.4985 	EXP 	pTrial: autoDraw = False
20.4985 	EXP 	iTrial: size = array([0.9, 0.9])
20.4985 	EXP 	iTrial: image = 'stimuli/block_03_trial_072.png'
20.4985 	EXP 	pTrial: autoDraw = True
